id,access_to,read_access,write_access,control_access,agent_webid,agent_class
1,index,Yes,No,No,,http://xmlns.com/foaf/0.1/Agent
2,products,Yes,No,No,,http://xmlns.com/foaf/0.1/Agent
3,index,Yes,Yes,Yes,http://localhost:3000/manufacturer2/profile/card#me,
4,products,Yes,Yes,Yes,http://localhost:3000/manufacturer2/profile/card#me,
5,product-C001,Yes,Yes,Yes,http://localhost:3000/manufacturer2/profile/card#me,
6,product-C001,Yes,Yes,Yes,http://localhost:3000/manufacturer2/profile/card#me,
7,product-C002,Yes,Yes,Yes,http://localhost:3000/manufacturer2/profile/card#me,
8,product-A001,Yes,Yes,Yes,http://localhost:3000/manufacturer2/profile/card#me,
9,product-A002,Yes,Yes,Yes,http://localhost:3000/manufacturer2/profile/card#me,
10,product-A003,Yes,Yes,Yes,http://localhost:3000/manufacturer2/profile/card#me,
11,product-H001,Yes,Yes,Yes,http://localhost:3000/manufacturer2/profile/card#me,
12,product-H002,Yes,Yes,Yes,http://localhost:3000/manufacturer2/profile/card#me,
13,product-H003,Yes,Yes,Yes,http://localhost:3000/manufacturer2/profile/card#me,
5,product-C101,Yes,No,No,http://localhost:3000/user1/profile/card#me,
6,product-C102,Yes,No,No,http://localhost:3000/user1/profile/card#me,
7,product-C103,Yes,No,No,http://localhost:3000/user1/profile/card#me,
